Ano,Tipo,Jogos,Vitorias,Empates,Derrotas,Aproveitamento
2015,Tradicional,20,11,5,4,63.3
2015,Demais,18,13,4,1,79.6
2016,Tradicional,20,5,5,10,33.3
2016,Demais,18,10,5,3,64.8
2017,Tradicional,20,12,5,3,68.3
2017,Demais,18,9,4,5,57.4
2018,Tradicional,22,6,4,12,33.3
2018,Demais,16,5,7,4,45.8
2019,Tradicional,22,4,10,8,33.3
2019,Demais,16,10,4,2,70.8
2020,Tradicional,20,5,6,9,35.0
2020,Demais,18,8,6,4,55.6
2021,Tradicional,16,4,7,5,39.6
2021,Demais,22,11,5,6,57.6
2022,Tradicional,16,6,5,5,47.9
2022,Demais,22,12,6,4,63.6
2023,Tradicional,22,8,9,5,50.0
2023,Demais,16,4,5,7,35.4
2024,Tradicional,20,6,5,9,38.3
2024,Demais,18,9,6,3,61.1
